SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
523277,G.V.FILMS   ,0.37,0.38,0.36,0.37
523283,SUPER HOUSE ,127.4,128.75,125.0,127.1
523289,RAMA VISION ,6.67,6.67,6.66,6.66
523301,TCPL PACK   ,370.8,385.1,370.8,381.45
523319,BALMER LAWRI,118.0,124.5,117.5,122.55
523323,KOVAI MEDI. ,1070.0,1088.0,1065.0,1080.0
523329,ELDECO HOUS.,2131.0,2131.0,2036.0,2079.8
523367,DCMSHRIRAM  ,476.25,482.0,468.75,472.2
523369,DCM SHR.IND ,185.8,191.75,183.1,187.7
523371,MAWANA SUGAR,38.7,40.05,38.0,39.0
523384,MAH.RAS.APEX,75.75,79.7,75.75,78.95
523385,NILKAMAL L  ,1889.95,1900.0,1822.25,1876.55
523391,NAHAR POLY  ,87.7,89.0,87.0,87.65
523395,3M INDIA LTD,21729.95,22439.0,21565.25,22369.05
523398,JCHAC       ,2629.5,2650.95,2590.8,2627.35
523405,JM FINANCIAL,93.5,95.0,92.05,92.4
523411,ADCINDIA    ,218.0,218.0,209.0,210.15
523419,TAMIL.TELE. ,7.14,7.14,7.14,7.14
523425,SUNRAJ DIAM.,1.57,1.57,1.57,1.57
523445,REL INDL INF,396.0,425.1,395.35,412.3
523449,SHARP INDIA ,35.9,36.7,35.0,36.0
523457,LINDEINDIA  ,1434.7,1500.0,1410.0,1478.55
523465,IND.BANK HSG,40.15,40.15,36.35,37.55
523475,LOTUS CHOC  ,17.5,17.5,17.15,17.15
523483,PACIFIC IND.,138.0,150.6,131.15,137.7
523489,CMM HOSPITAL,12.49,12.49,11.87,11.87
523519,UNI OFF AUTO,2.7,2.7,2.61,2.65
523537,APM INDUS.  ,22.8,23.7,22.8,23.5
523539,PRECISION WR,171.7,182.0,164.55,177.5
523550,KRYPTON IND ,10.39,10.39,9.57,9.71
523566,MARTIN BURN ,25.6,25.6,24.8,24.8
523574,FEL         ,10.34,10.46,10.25,10.3
523586,IND.TONERS  ,127.0,127.1,125.55,126.3
523594,KUNSTSTOFFE ,26.5,26.5,24.5,26.0
523598,SHIPP.CORPN ,103.0,103.45,100.0,100.45
523606,SIKA INTER. ,361.8,361.85,345.0,346.5
523610,ITI LTD.    ,128.1,130.45,126.85,127.15
523618,DREDGING COR,375.0,388.9,360.5,362.8
523620,PHARMASIA   ,27.9,27.95,27.9,27.95
523628,PODDAR      ,214.0,220.0,212.5,218.0
523630,NATIONAL FER,39.5,46.25,39.5,45.0
523638,IP RINGS LTD,83.8,86.8,79.0,86.2
523642,PI INDUS.LTD,2235.0,2280.0,2211.0,2217.45
523648,PLASTIBLEND ,235.0,236.0,234.0,234.0
523652,KKPLASTICK  ,3.59,3.59,3.59,3.59
523660,WATERBASE   ,112.25,115.65,111.5,114.35
523672,FLEX FOODS  ,74.55,77.4,73.2,76.0
523676,GOLKUNDA DIA,19.5,19.5,17.85,18.5
523694,APCOTEX IND ,180.4,181.0,177.15,177.55
523696,FORTIS MLR  ,53.45,53.45,51.05,52.1
523704,MASTEK LTD  ,1220.0,1220.0,1185.6,1195.5
523708,EIMCO ELECON,337.4,348.7,332.95,339.8
523710,SAYAJI HOTEL,218.4,218.4,205.05,214.0
523716,ASHIANA HOU ,116.55,117.35,112.85,115.0
523722,SVAM SOFTWAR,2.1,2.1,2.1,2.1
523732,ECO BOARD IN,6.0,6.0,5.7,5.7
523736,DVL         ,88.9,88.9,86.0,88.1
523752,IO SYSTEM   ,1.93,1.93,1.76,1.76
523754,MAHEPC      ,159.7,159.7,154.25,154.85
523756,SREIINFRA   ,6.5,6.54,6.31,6.4
523782,MITSHI      ,18.0,18.0,16.85,17.9
523792,MAZDA LTD   ,522.0,535.0,520.15,533.45
523796,VICEROY HOTE,2.65,2.75,2.65,2.75
523826,SOVEREIGN DI,5.02,5.02,5.02,5.02
523828,MENON BEAR. ,58.2,60.0,58.2,59.65
523832,MUKAT PIPES ,3.07,3.07,3.07,3.07
523836,GUJ.RAFFIA  ,66.2,66.2,66.2,66.2
523838,SIMPLX INFRA,36.9,38.0,36.6,37.25
523840,INN.TECH.PAC,23.0,23.0,21.35,22.0
523842,SUPER TANNER,2.87,3.1,2.87,3.01
523850,AXTEL INDUS.,344.9,354.0,330.05,331.6
523874,PRECI CONTNR,0.3,0.31,0.3,0.31
523896,APIL        ,9.2,9.2,8.75,8.75
524000,MAGMA FIN   ,104.4,112.65,102.5,112.65
524013,HIND.FLUROCA,7.79,7.99,7.41,7.41
524019,KINGFA      ,565.4,565.7,555.0,563.6
524031,PATIDAR     ,0.76,0.76,0.76,0.76
524037,RAMA PHOSPH ,162.0,166.4,151.0,154.85
524038,VENLON ENTR ,2.19,2.19,2.19,2.19
524051,POLYPLEX    ,784.1,796.45,783.0,786.65
524075,ALBERT DAVID,400.3,404.95,397.85,400.8
524080,HAR.LEATHER ,28.35,28.35,28.35,28.35
524091,ACRYCIL LTD.,293.0,303.05,288.0,303.05
524109,KABRA EXTR  ,135.0,136.75,130.05,135.0
524129,VINYL CHEM  ,127.0,140.35,126.5,135.3
524136,PEE CEE COSM,133.0,133.2,115.0,121.2
524156,T C M LTD.  ,41.6,45.65,41.6,45.65
524164,IOL CHEM PH ,568.0,576.5,565.0,569.9
524174,KESAR PETRO ,6.18,6.21,5.92,6.03
524200,VINATI ORG. ,1445.1,1480.0,1402.65,1420.3
524202,LACTOSE(I)  ,25.15,26.5,24.25,24.55
524208,AARTI INDUST,1221.15,1242.15,1218.0,1235.65
524212,WANBURY LTD ,94.45,94.7,91.15,94.7
524218,RESONANCE   ,145.05,150.0,142.0,144.85
524226,GUJ AMB EXP ,122.7,128.0,122.7,125.5
524230,RASHTR.CHEM.,57.4,67.7,56.75,67.7
524280,KOPRAN LTD. ,124.45,124.45,120.65,122.1
524288,AIMCO PESTI.,92.05,92.05,85.0,87.85
524314,GUJ.TERC LAB,7.86,7.86,7.86,7.86
524324,SEYAIND     ,50.5,53.6,49.75,50.05
524330,JAYANT AGRO ,140.1,141.0,134.4,138.6
524332,BCLIL       ,95.15,95.9,92.0,94.05
524336,SH.HARI CHEM,64.1,64.2,64.1,64.2
524342,INDOBORAXC  ,679.6,696.0,630.0,642.25
524348,AARTI DRUGS ,644.0,644.0,634.4,635.6
524370,BODAL CHEM  ,71.25,73.5,69.55,73.0
524372,ORCHIDPHAR  ,843.0,843.0,843.0,843.0
524394,VIMTA LABS  ,169.0,170.95,164.5,166.8
524396,BIOFIL CHEM ,80.75,80.75,80.75,80.75
524400,ISHITA DRUGS,29.0,29.0,29.0,29.0
524404,MARKSANS    ,54.4,55.0,53.9,54.1
524408,UNIV.STARCH ,69.0,69.0,68.95,68.95
524412,AAREY DRUGS ,27.15,27.7,26.55,27.2
524440,CAMEX LTD   ,18.5,20.65,18.5,19.85
524444,EVEXIA      ,149.0,149.0,140.5,143.8
524458,INDOEURO    ,5.0,5.1,5.0,5.1
524470,SYNCOM FORM.,3.43,3.43,3.43,3.43
524480,RIDHI SIDHI ,257.0,258.0,240.25,240.65
524488,SVCIND      ,1.29,1.3,1.18,1.29
524494,IPCA LAB LTD,1850.0,1878.75,1847.6,1865.5
524500,KILITCH DRUG,88.4,89.95,86.2,87.5
524502,RAAJMEDISAFE,10.1,10.1,10.1,10.1
524506,CORAL LAB.  ,368.0,370.0,361.05,370.0
524514,TULASEE BIO-,15.4,15.4,15.4,15.4
524516,BACIL PHARMA,5.28,5.54,5.02,5.5
524518,KREBS BIOCHM,107.3,120.95,107.1,113.3
524520,KMC SHIL    ,22.75,23.15,21.0,22.95
524522,LAFFANS PETR,16.99,17.31,15.68,16.62
524534,BHASKAR AGRO,27.0,27.0,26.5,26.8
524542,SUKJIT STRCH,184.6,184.6,177.8,181.0
524558,NEULAND LAB.,2091.6,2180.0,2002.5,2025.65
524564,GAYATRI BIO ,5.1,5.1,5.05,5.1
524570,PODDAR PIGM.,197.65,218.0,191.95,213.95
524572,PHARMAIDS PH,14.0,14.3,13.55,14.17
524576,VIVID IND   ,19.45,19.45,18.55,18.95
524580,PRIYA LTD.  ,10.14,10.14,10.14,10.14
524582,TIRUPATI STA,37.1,37.1,37.0,37.0
524594,ASHOK-ALCO  ,87.05,87.05,86.9,87.05
524598,AKSHARCHEM I,246.8,251.55,241.0,245.95
524606,BERYL DRUGS ,7.27,7.27,6.85,6.85
